iter	Passed	Remaining
206	23052	88313
207	23160	88187
208	23273	88083
209	23405	88050
210	23519	87945
211	23630	87835
212	23748	87747
213	23869	87671
214	23984	87571
215	24095	87456
216	24205	87342
217	24322	87248
218	24437	87149
219	24543	87016
220	24645	86872
221	24765	86791
222	24892	86734
223	25012	86650
224	25119	86521
225	25216	86359
226	25329	86255
227	25446	86162
228	25551	86028
229	25660	85907
230	25767	85778
231	25880	85674
232	25996	85577
233	26106	85460
234	26223	85366
235	26328	85234
236	26443	85132
237	26543	84982
238	26654	84870
239	26760	84740
240	26881	84660
241	27004	84583
242	27122	84491
243	27241	84402
244	27339	84249
245	27455	84152
246	27562	84027
247	27673	83913
248	27797	83837
249	27896	83688
250	28012	83591
251	28135	83512
252	28254	83424
253	28363	83302
254	28472	83185
255	28582	83067
256	28701	82978
257	28814	82869
258	28915	82728
259	29021	82599
260	29130	82479
261	29234	82346
262	29350	82247
263	29457	82123
264	29567	82007
265	29673	81880
266	29784	81766
267	29884	81625
268	29993	81506
269	30111	81412
270	30208	81263
271	30323	81159
272	30442	81068
273	30568	80995
274	30673	80867
275	30778	80737
276	30882	80607
277	30991	80487
278	31111	80400
279	31199	80227
280	31299	80087
281	31427	80018
282	31514	79844
283	31638	79764
284	31732	79610
285	31832	79470
286	31965	79411
287	32078	79306
288	32177	79163
289	32304	79090
290	32422	78994
291	32520	78851
292	32635	78747
293	32745	78633
294	32830	78458
295	32954	78377
296	33064	78264
297	33166	78129
298	33297	78064
299	33385	77900
300	33484	77758
301	33574	77599
302	33685	77487
303	33803	77391
304	33928	77313
305	34037	77195
306	34156	77102
307	34269	76996
308	34392	76910
309	34499	76789
310	34619	76698
311	34720	76562
312	34818	76422
313	34923	76298
314	35037	76192
315	35151	76087
316	35276	76005
317	35397	75914
318	35504	75795
319	35639	75732
320	35755	75632
321	35862	75512
322	35989	75433
323	36104	75330
324	36216	75218
325	36320	75091
326	36424	74965
327	36537	74856
328	36661	74771
329	36772	74658
330	36899	74578
331	37021	74489
332	37143	74399
333	37266	74309
334	37372	74187
335	37484	74077
336	37593	73960
337	37698	73836
338	37815	73735
339	37933	73635
340	38044	73522
341	38150	73401
342	38281	73326
343	38398	73225
344	38517	73127
345	38628	73015
346	38744	72910
347	38852	72792
348	38979	72708
349	39106	72625
350	39227	72531
351	39337	72415
352	39473	72349
353	39588	72242
354	39710	72150
355	39822	72038
356	39929	71917
357	40038	71800
358	40155	71698
359	40261	71576
360	40364	71448
361	40455	71299
362	40555	71166
363	40665	71053
364	40759	70910
365	40865	70789
366	40975	70673
367	41088	70564
368	41201	70455
369	41320	70356
370	41429	70240
371	41529	70108
372	41650	70013
373	41745	69873
374	41850	69750
375	41949	69617
376	42059	69504
377	42156	69368
378	42271	69263
379	42398	69175
380	42521	69083
381	42621	68952
382	42755	68877
383	42859	68754
384	42965	68633
385	43070	68511
386	43177	68391
387	43297	68293
388	43415	68191
389	43524	68077
390	43635	67963
391	43765	67880
392	43869	67757
393	43973	67633
394	44079	67514
395	44189	67399
396	44297	67282
397	44394	67149
398	44496	67024
399	44602	66904
400	44716	66795
401	44825	66681
402	44921	66545
403	45022	66418
404	45140	66316
405	45242	66192
406	45351	66076
407	45464	65968
408	45570	65849
409	45679	65733
410	45798	65633
411	45893	65499
412	46006	65389
413	46132	65298
414	46238	65180
415	46341	65055
416	46457	64951
417	46562	64831
418	46635	64666
419	46710	64504
420	46783	64340
421	46896	64232
422	47010	64125
423	47131	64027
424	47210	63872
425	47320	63760
426	47428	63645
427	47535	63528
428	47640	63410
429	47752	63300
430	47866	63192
431	47957	63054
432	48070	62946
433	48188	62845
434	48302	62738
435	48419	62633
436	48517	62505
437	48624	62389
438	48749	62296
439	48844	62165
440	48949	62047
441	49056	61930
442	49165	61817
443	49278	61708
444	49375	61580
445	49482	61464
446	49594	61355
447	49703	61241
448	49807	61122
449	49912	61004
450	50016	60884
451	50126	60773
452	50226	60649
453	50337	60537
454	50448	60427
455	50553	60309
456	50645	60176
457	50766	60077
458	50888	59979
459	51002	59872
460	51104	59751
461	51214	59639
462	51315	59517
463	51436	59418
464	51560	59321
465	51668	59207
466	51771	59087
467	51874	58968
468	51977	58848
469	52095	58746
470	52199	58627
471	52302	58507
472	52416	58401
473	52536	58299
474	52641	58182
475	52746	58065
476	52872	57970
477	52994	57873
478	53111	57768
479	53228	57664
480	53352	57566
481	53467	57460
482	53580	57352
483	53685	57235
484	53799	57126
485	53907	57013
486	54015	56899
487	54105	56766
488	54233	56673
489	54356	56574
490	54469	56466
491	54583	56358
492	54706	56260
493	54809	56141
494	54928	56038
495	55029	55917
496	55146	55812
497	55260	55704
498	55370	55591
499	55484	55484
500	55596	55374
501	55715	55271
502	55823	55158
503	55938	55050
504	56056	54946
505	56158	54826
506	56277	54723
507	56415	54638
508	56521	54522
509	56633	54412
510	56759	54315
511	56869	54203
512	56967	54080
513	57091	53981
514	57208	53876
515	57317	53762
516	57434	53657
517	57542	53543
518	57648	53427
519	57774	53329
520	57904	53236
521	58026	53135
522	58146	53032
523	58270	52932
524	58390	52829
525	58498	52715
526	58613	52607
527	58702	52476
528	58806	52358
529	58886	52220
530	59001	52112
531	59110	51999
532	59227	51893
533	59341	51784
534	59460	51680
535	59578	51575
536	59692	51466
537	59796	51349
538	59921	51250
539	60042	51147
540	60134	51019
541	60243	50906
542	60360	50800
543	60478	50695
544	60588	50582
545	60716	50485
546	60819	50367
547	60948	50271
548	61064	50164
549	61165	50044
550	61271	49928
551	61394	49827
552	61511	49720
553	61627	49613
554	61743	49505
555	61854	49394
556	61952	49273
557	62081	49175
558	62189	49062
559	62291	48943
560	62410	48838
561	62517	48723
562	62636	48618
563	62759	48516
564	62870	48404
565	62981	48293
566	63098	48186
567	63204	48070
568	63309	47955
569	63409	47835
570	63554	47749
571	63661	47634
572	63785	47533
573	63893	47419
574	64021	47320
575	64137	47212
576	64243	47097
577	64360	46990
578	64545	46931
579	64672	46831
580	64797	46729
581	64910	46619
582	65029	46513
583	65134	46397
584	65244	46284
585	65358	46174
586	65472	46064
587	65585	45954
588	65704	45848
589	65821	45740
590	65938	45632
591	66049	45520
592	66169	45414
593	66286	45306
594	66415	45206
595	66544	45107
596	66634	44980
597	66747	44870
598	66875	44769
599	66995	44663
600	67126	44565
601	67267	44472
602	67397	44372
603	67506	44259
604	67619	44148
605	67750	44049
606	67866	43940
607	67965	43819
608	68072	43704
609	68203	43605
610	68322	43498
611	68449	43396
612	68564	43285
613	68677	43175
614	68797	43068
615	68908	42955
616	69014	42840
617	69132	42732
618	69259	42629
619	69383	42525
620	69498	42415
621	69614	42306
622	69730	42196
623	69831	42078
624	69961	41976
625	70077	41867
626	70181	41750
627	70267	41623
628	70384	41514
629	70521	41417
630	70641	41310
631	70772	41209
632	70888	41099
633	71001	40988
634	71110	40874
635	71225	40764
636	71345	40656
637	71486	40561
638	71606	40453
639	71724	40345
640	71839	40234
641	71950	40121
642	72071	40014
643	72171	39896
644	72283	39783
645	72386	39667
646	72528	39571
647	72645	39461
648	72763	39352
649	72856	39230
650	72964	39116
651	73078	39004
652	73186	38890
653	73320	38790
654	73423	38673
655	73540	38563
656	73667	38459
657	73798	38357
658	73912	38245
659	74049	38146
660	74175	38041
661	74264	37917
662	74369	37801
663	74485	37691
664	74615	37588
665	74713	37468
666	74833	37360
667	74950	37250
668	75058	37136
669	75170	37024
670	75291	36916
671	75407	36806
672	75528	36697
673	75642	36586
674	75754	36474
675	75865	36361
676	75971	36246
677	76072	36128
678	76205	36026
679	76323	35916
680	76430	35802
681	76546	35691
682	76656	35578
683	76767	35465
684	76884	35355
685	76987	35239
686	77089	35122
687	77189	35004
688	77290	34887
689	77418	34782
690	77522	34666
691	77630	34552
692	77735	34436
693	77845	34323
694	77949	34208
695	78078	34103
696	78185	33988
697	78294	33875
698	78390	33756
699	78498	33642
700	78615	33531
701	78737	33424
702	78852	33313
703	78976	33205
704	79089	33094
705	79209	32985
706	79320	32872
707	79439	32763
708	79559	32654
709	79692	32550
710	79801	32436
711	79918	32326
712	80037	32217
713	80165	32110
714	80272	31996
715	80387	31885
716	80491	31770
717	80606	31658
718	80720	31547
719	80839	31437
720	80941	31321
721	81042	31204
722	81145	31088
723	81257	30976
724	81365	30862
725	81488	30754
726	81594	30639
727	81729	30536
728	81851	30427
729	81956	30312
730	82059	30197
731	82176	30086
732	82302	29979
733	82398	29861
734	82519	29751
735	82639	29642
736	82740	29525
737	82832	29406
738	82940	29292
739	83049	29179
740	83154	29064
741	83269	28953
742	83380	28841
743	83484	28725
744	83593	28612
745	83712	28502
746	83814	28387
747	83917	28271
748	84025	28158
749	84140	28046
750	84259	27936
751	84373	27825
752	84485	27712
753	84621	27608
754	84729	27495
755	84847	27384
756	84953	27270
757	85067	27158
758	85175	27045
759	85285	26932
760	85391	26817
761	85515	26709
762	85625	26596
763	85751	26488
764	85873	26379
765	85977	26264
766	86077	26148
767	86183	26034
768	86298	25923
769	86411	25811
770	86522	25698
771	86640	25587
772	86768	25480
773	86869	25365
774	86988	25254
775	87100	25142
776	87205	25028
777	87324	24917
778	87452	24809
779	87566	24698
780	87699	24591
781	87825	24483
782	87940	24371
783	88057	24260
784	88161	24146
785	88276	24034
786	88381	23920
787	88493	23807
788	88621	23699
789	88729	23586
790	88836	23472
791	88951	23360
792	89068	23249
793	89188	23139
794	89295	23025
795	89406	22913
796	89513	22799
797	89625	22687
798	89749	22577
799	89873	22468
800	89977	22354
801	90074	22237
802	90171	22121
803	90272	22006
804	90388	21895
805	90512	21785
806	90610	21670
807	90724	21558
808	90837	21446
809	90962	21336
810	91074	21224
811	91189	21112
812	91289	20997
813	91410	20887
814	91529	20776
815	91647	20665
816	91771	20555
817	91880	20442
818	91986	20329
819	92086	20214
820	92202	20102
821	92308	19988
822	92431	19878
823	92548	19767
824	92663	19655
825	92791	19546
826	92905	19434
827	93020	19323
828	93138	19211
829	93251	19099
830	93357	18986
831	93463	18872
832	93589	18762
833	93704	18651
834	93814	18538
835	93918	18424
836	94019	18309
837	94140	18198
838	94253	18086
839	94364	17974
840	94472	17861
841	94605	17752
842	94734	17643
843	94848	17531
844	94954	17417
845	95087	17309
846	95203	17197
847	95317	17085
848	95425	16972
849	95538	16859
850	95666	16749
851	95795	16640
852	95915	16529
853	96021	16415
854	96132	16303
855	96250	16191
856	96372	16080
857	96480	15967
858	96588	15854
859	96694	15741
860	96793	15626
861	96909	15514
862	97025	15402
863	97127	15288
864	97240	15176
865	97341	15062
866	97457	14950
867	97571	14838
868	97691	14726
869	97791	14612
870	97910	14501
871	98027	14389
872	98136	14276
873	98247	14163
874	98376	14053
875	98499	13942
876	98606	13829
877	98723	13717
878	98832	13604
879	98939	13491
880	99054	13379
881	99156	13265
882	99255	13151
883	99379	13040
884	99589	12940
885	99713	12830
886	99826	12717
887	99954	12606
888	100081	12496
889	100192	12383
890	100317	12272
891	100430	12159
892	100556	12048
893	100671	11936
894	100795	11825
895	100899	11711
896	100996	11597
897	101125	11486
898	101255	11375
899	101380	11264
900	101491	11151
901	101618	11040
902	101736	10928
903	101858	10816
904	101970	10704
905	102084	10591
906	102188	10478
907	102318	10367
908	102424	10253
909	102553	10142
910	102659	10029
911	102777	9917
912	102898	9805
913	103015	9692
914	103125	9580
915	103234	9466
916	103354	9354
917	103477	9243
918	103591	9130
919	103679	9015
920	103802	8903
921	103906	8790
922	104005	8676
923	104115	8563
924	104221	8450
925	104343	8338
926	104467	8226
927	104566	8112
928	104673	7999
929	104784	7887
930	104899	7774
931	105012	7661
932	105111	7548
933	105226	7435
934	105341	7323
935	105464	7211
936	105586	7099
937	105696	6986
938	105816	6874
939	105930	6761
940	106057	6649
941	106189	6538
942	106316	6426
943	106440	6314
944	106552	6201
945	106650	6087
946	106750	5974
947	106872	5862
948	107001	5750
949	107113	5637
950	107222	5524
951	107319	5411
952	107428	5298
953	107551	5185
954	107671	5073
955	107790	4961
956	107917	4848
957	108040	4736
958	108158	4624
959	108262	4510
960	108368	4397
961	108485	4285
962	108601	4172
963	108714	4059
964	108841	3947
965	108955	3834
966	109068	3722
967	109195	3609
968	109316	3497
969	109430	3384
970	109535	3271
971	109645	3158
972	109774	3046
973	109888	2933
974	109985	2820
975	110088	2707
976	110206	2594
977	110307	2481
978	110414	2368
979	110517	2255
980	110622	2142
981	110738	2029
982	110860	1917
983	110962	1804
984	111058	1691
985	111183	1578
986	111296	1465
987	111413	1353
988	111538	1240
989	111651	1127
990	111777	1015
991	111889	902
992	111997	789
993	112093	676
994	112212	563
995	112340	451
996	112466	338
997	112589	225
998	112691	112
999	112795	0
